Target_X,Target_Y,Final_X,Final_Y,Error_m,NN_Steps,Total_Steps
0.07898,0.01251,0.07762995319647065,0.012865937428225732,0.0013961797250109877,53,134
0.00879,0.0517,0.008044753204446118,0.05010993883946699,0.0017560430747902867,35,241
-0.03814,-0.07688,-0.03782918122643103,-0.07667633513569849,0.0003716015163503398,57,121
0.08071,0.04907,0.08010711278682968,0.04786278843728614,0.0013493823583233641,63,208
0.06382,0.01209,0.06263158460739146,0.011427277736025705,0.0013607100883568579,43,227
-0.04673,-0.00157,-0.04707055724036699,-0.0029760270099160164,0.0014466828216923545,31,157
0.00515,0.01546,0.004878110335609596,0.014862076851735124,0.0006568379410732206,11,66
-0.07742,-0.02246,-0.07778283748226904,-0.023693312694165206,0.001285578173480076,54,211
-0.03976,-0.02497,-0.040092566590777215,-0.026221899895431278,0.0012953199934695782,31,169
0.08989,0.00367,0.08848589045611505,0.0037266084101786746,0.0014052501995487365,60,236
-0.02874,-0.08504,-0.029758074872702413,-0.08425412871906081,0.0012861065728130945,60,193
0.03264,0.04834,0.031789453052013,0.04734083404293084,0.001312159563656776,39,155
-0.05064,0.08371,-0.050688140515973076,0.08212646448458197,0.0015842670980199102,65,249
0.025,0.01739,0.024721659125717114,0.017775007726495633,0.00047508377341043683,20,55
-0.07319,-0.05584,-0.07347059757858017,-0.0573297575792932,0.0015159527189746323,61,236
-0.01141,-0.08911,-0.011826847220631476,-0.08910545836464334,0.000416871960918337,60,151
0.07219,-0.01231,0.07223404415539131,-0.013604895172216688,0.0012956440076866095,49,192
-0.05827,-0.01976,-0.05726433393257309,-0.020511456438784093,0.0012554087057862812,41,155
-0.06697,-0.06172,-0.06535129918315173,-0.06090035594323352,0.0018143893502382176,61,435
-0.08208,-0.04336,-0.08050245809749265,-0.04246045322027385,0.0018159908763763645,62,403
0.08048,0.02384,0.08050781047619264,0.02406850468318074,0.00023019081828255298,56,131
-0.01169,0.04628,-0.010926963434932444,0.044825131727634325,0.001642822720066406,32,154
0.00305,0.02808,0.003538351297809142,0.02879481125380363,0.0008657032509100279,19,109
-0.00556,0.03129,-0.004666151285569488,0.030087548109642658,0.0014982843765163607,21,93
-0.05266,0.05986,-0.05228296190763318,0.058700235020530143,0.0012195132351476628,53,166
0.01531,0.05888,0.014465991363602555,0.05880406311305141,0.0008474178362017867,41,137
0.04763,-0.02003,0.04598050061383438,-0.020049879770172488,0.0016496191773324122,34,204
-0.06231,-0.05097,-0.06071901863330895,-0.05075745488986752,0.001605115925096799,54,235
-0.00541,-0.04101,-0.006365827585935326,-0.04171570201940066,0.001188116877340411,28,143
-0.02937,0.02777,-0.028775558670800935,0.02702550379582563,0.000952698846378012,27,171
-0.06341,-0.07665,-0.06340391401813866,-0.07774260160817556,0.0010926185580352574,66,222
-0.0298,-0.06842,-0.030333536253508805,-0.06965605924089507,0.0013462924573844764,50,197
0.01493,-0.09058,0.0141702172066321,-0.0893924006706447,0.0014098446936393623,61,213
0.04689,0.00959,0.04608895452653813,0.00994823432469722,0.000877499676321896,32,126
-0.00625,0.05582,-0.005585765130641946,0.05434472110636632,0.0016179171102600216,37,183
0.04301,-0.01613,0.0413898709986317,-0.015657983750024997,0.0016874884655354255,31,242
-0.037,0.08599,-0.035641900685776814,0.08581191105174248,0.0013697260385876265,62,242
-0.06417,0.04937,-0.06335963697698922,0.048475323944448534,0.0012071178374294278,54,226
-0.09245,0.02445,-0.09122169650614147,0.023734914744952693,0.0014212939157722312,64,231
0.00109,0.05145,0.0007945373303170656,0.04973439190976283,0.001740864529038203,34,190
-0.00599,0.07468,-0.007058301000798662,0.07387974519217162,0.0013347939113435643,50,162
0.06124,-0.04578,0.05961977571470374,-0.045961980683423546,0.0016304121269798888,51,220
0.01211,0.06203,0.011856946054636594,0.06215537448942491,0.00028240938699438024,42,101
-0.0997,-0.00597,-0.09977394876632849,-0.007404545233522314,0.0014364499458954692,67,275
0.02884,0.0088,0.027451464024769133,0.008794016087167164,0.0013885488690439127,20,115
-0.02305,-0.02377,-0.02392554025698822,-0.025022946434335704,0.001528543590782269,22,142
