Target_X,Target_Y,Final_X,Final_Y,Error_m,Active_Steps
0.07898,0.01251,0.0623495441484216,0.010580300615184635,0.016742036959314564,53
0.00879,0.0517,0.00961617664915713,0.04584097271531153,0.005916989824085931,35
-0.03814,-0.07688,-0.03825199221763931,-0.07821607317598113,0.0013407586615002947,57
0.08071,0.04907,0.07126918208946573,0.04831061783379355,0.009471309523725702,63
0.06382,0.01209,0.04925385963067396,0.013405278216342143,0.01462540262848493,43
-0.04673,-0.00157,-0.036926699972395116,-0.008373868191938983,0.01193303455976379,31
0.00515,0.01546,0.004041384087919733,0.012983144058810535,0.0027136404688025847,11
-0.07742,-0.02246,-0.06780409475027974,-0.03195615508117874,0.013514532736924148,54
-0.03976,-0.02497,-0.03286990932706584,-0.027883681191051373,0.00748083468366604,31
0.08989,0.00367,0.06986674318566763,0.003971616623724807,0.02002552835858307,60
-0.02874,-0.08504,-0.02998162380501402,-0.08310222587488676,0.0023014339515041228,60
0.03264,0.04834,0.03070662606025962,0.0477455699733094,0.002022691733185913,39
-0.05064,0.08371,-0.03284071157934608,0.06925811750162372,0.022927528781543364,65
0.025,0.01739,0.020047571012401028,0.016117321829571506,0.005113341627810116,20
-0.07319,-0.05584,-0.06379073541812864,-0.060510260112878446,0.010495594513983702,61
-0.01141,-0.08911,-0.01601396212587745,-0.08909820910706996,0.00460397722427795,60
0.07219,-0.01231,0.055346153258421814,-0.012717304068417907,0.016848770568143063,49
-0.05827,-0.01976,-0.04921189196312191,-0.02763681447808434,0.0120038963478495,41
-0.06697,-0.06172,-0.06026128528853833,-0.0666884803406314,0.008348212382002692,61
-0.08208,-0.04336,-0.0705822731912757,-0.05035910718563554,0.013460506051559592,62
0.08048,0.02384,0.06713546760190298,0.023841986747184088,0.013344532545991461,56
-0.01169,0.04628,-0.005148058609634763,0.037100142850563844,0.011272389916917707,32
0.00305,0.02808,0.003491092351299306,0.02367196751477628,0.0044300465971773215,19
-0.00556,0.03129,-0.002337008511868087,0.024917152939124318,0.007141488205821148,21
-0.05266,0.05986,-0.03867267708166764,0.047808313123228814,0.01846316221554272,53
0.01531,0.05888,0.015441375739920904,0.05672170890939048,0.0021622858314395426,41
