Target_X,Target_Y,Final_X,Final_Y,Error_m,NN_Steps,Total_Steps
0.07898,0.01251,0.07823701075894744,0.012162256037443179,0.000820340707154392,53,222
0.00879,0.0517,0.00923520539868435,0.05051247161263663,0.0012682395348716814,35,138
-0.03814,-0.07688,-0.03842069424202827,-0.07754979921086667,0.000726237041457842,57,251
0.08071,0.04907,0.08103443070107369,0.04969524937450212,0.0007044090147878952,63,219
0.06382,0.01209,0.06427163620429252,0.013175523516255486,0.0011757281001028375,43,165
-0.04673,-0.00157,-0.047136750448725576,-0.0025165983670823572,0.0010302885013924214,31,184
0.00515,0.01546,0.0054356085345014845,0.015995334829185172,0.0006067582832716855,11,101
-0.07742,-0.02246,-0.07806146357547371,-0.023180560902366868,0.000964719406189833,54,280
-0.03976,-0.02497,-0.040180293221243966,-0.025744193517333192,0.0008809211054937743,31,220
0.08989,0.00367,0.0890542347646614,0.003485211111985028,0.0008559500346015486,60,214
-0.02874,-0.08504,-0.029036862429618407,-0.08573156365143698,0.0007525872614572952,60,250
0.03264,0.04834,0.033043147758369314,0.049129147534960685,0.0008861613549533315,39,213
-0.05064,0.08371,-0.05059500767634017,0.08209595351605734,0.001614673453524276,65,450
0.025,0.01739,0.025516259225997533,0.018208790436984954,0.000967957317305667,20,134
-0.07319,-0.05584,-0.07348842380267695,-0.05670042300697325,0.0009107055050525681,61,264
-0.01141,-0.08911,-0.011785328216202925,-0.0900637325479509,0.0010249278232631778,60,248
0.07219,-0.01231,0.07076508541265913,-0.01158435859789513,0.0015990425340388923,49,326
-0.05827,-0.01976,-0.05873342632197204,-0.020525894573598512,0.0008951862676360575,41,251
-0.06697,-0.06172,-0.06725624071802035,-0.0626769893713759,0.0009988805762348456,61,256
-0.08208,-0.04336,-0.08262722994343061,-0.044476648892412436,0.0012435293964812334,62,245
0.08048,0.02384,0.08116311346009533,0.02467173694586497,0.0010763040213992553,56,170
-0.01169,0.04628,-0.01160165171448481,0.04468655007403279,0.0015958972667807847,32,302
0.00305,0.02808,0.003501560130111521,0.027634309145435326,0.0006344658296149001,19,96
-0.00556,0.03129,-0.004877247679247389,0.02974911657895064,0.0016853701221861775,21,98
-0.05266,0.05986,-0.052077609900530425,0.059683795406771045,0.0006084622310671057,53,205
0.01531,0.05888,0.01553719762840894,0.05981626145750919,0.0009634335883556693,41,272
0.04763,-0.02003,0.045906864911976236,-0.019062431997952517,0.001976204030500094,34,434
-0.06231,-0.05097,-0.06256575756388011,-0.05173519524109334,0.0008068058555029072,54,255
-0.00541,-0.04101,-0.005897705265288503,-0.04173401130696269,0.0008729540643126409,28,193
-0.02937,0.02777,-0.02892162057386123,0.027539961067564022,0.0005039464457864704,27,137
-0.06341,-0.07665,-0.06360738349556812,-0.07742799851754843,0.0008026468324426731,66,266
-0.0298,-0.06842,-0.030165454985116722,-0.06922660442071593,0.0008855326293622135,50,260
0.01493,-0.09058,0.014634549149417841,-0.09132830657315676,0.000804520933561917,61,258
0.04689,0.00959,0.04664885291856881,0.009894153521396956,0.00038815110390278545,32,173
-0.00625,0.05582,-0.005533735378308865,0.054996549737947195,0.0010913777267111424,37,142
0.04301,-0.01613,0.04157061802565583,-0.015318728210906133,0.0016522658332866675,31,431
-0.037,0.08599,-0.03696718167777798,0.08438390184215554,0.0016064334206262133,62,459
-0.06417,0.04937,-0.06375187767730638,0.04895846899798573,0.0005866720057694797,54,226
-0.09245,0.02445,-0.09223865437533604,0.023679950758850876,0.0007985253952498572,64,227
0.00109,0.05145,0.0014475236030733808,0.04997527249404912,0.0015174466526249536,34,191
-0.00599,0.07468,-0.005895626958209884,0.07308586012663085,0.0015969308710404861,50,300
0.06124,-0.04578,0.05979867064511678,-0.04506992730723949,0.0016067462582039088,51,379
0.01211,0.06203,0.012760027170049513,0.06314129037523908,0.0012874399480758657,42,176
-0.0997,-0.00597,-0.09972956546523433,-0.006847529004199187,0.0008780269186906171,67,250
0.02884,0.0088,0.029278579228710674,0.00940876266861974,0.0007502957593919057,20,126
-0.02305,-0.02377,-0.023635495617734134,-0.02442014617917006,0.0008749258098120685,22,219
-0.07856,0.04181,-0.07830937705388422,0.04119921365313136,0.0006602058941276549,59,219
-0.01855,0.01707,-0.018763336598903873,0.01711118168885941,0.00021727502371231058,17,119
-0.09814,-0.01816,-0.09872624643874323,-0.018864948412244606,0.0009168626673964326,67,284
0.06319,-0.07562,0.061864664598678176,-0.07555266108827305,0.0013270450086675435,66,280
-0.00196,-0.01053,-0.002453156510697012,-0.011308621569778363,0.000921658772522117,7,124
-0.08035,-0.01901,-0.08137387213548777,-0.02004109369699764,0.0014530892477121102,55,271
-0.03269,-0.04,-0.03292731677696994,-0.04055140008042126,0.0006003010089279988,34,236
-0.03063,0.01331,-0.03135717927030491,0.013225143765748121,0.0007321135647237994,22,174
