Target_X,Target_Y,Final_X,Final_Y,Error_m,Active_Steps
0.07898,0.01251,0.0732945848732641,0.010501288815475818,0.00602983132319221,53
0.00879,0.0517,0.0023873312292992887,0.04667293990774689,0.008140362434095305,35
-0.03814,-0.07688,-0.03469666669212609,-0.07314996402768358,0.005076387753500364,57
0.08071,0.04907,0.07560977046431067,0.04575754384137228,0.0060815053333486925,63
0.06382,0.01209,0.05640747203408085,0.013220814728508877,0.007498287324165841,43
-0.04673,-0.00157,-0.0460613469160567,-0.008469995345785611,0.006932317990292278,31
0.00515,0.01546,0.004080634491692049,0.013075930315356126,0.0026129161585471245,11
-0.07742,-0.02246,-0.07625523321618805,-0.028452154801793708,0.006104310020741987,54
-0.03976,-0.02497,-0.03848443719469343,-0.03084840408942408,0.006015205325576118,31
0.08989,0.00367,0.0778601997562806,0.000622483456124804,0.012409812689520513,60
-0.02874,-0.08504,-0.02683248709931594,-0.08674465999229633,0.0025582164012475242,60
0.03264,0.04834,0.029660182397316957,0.04579910448735812,0.003916051959745093,39
-0.05064,0.08371,-0.030997099008196333,0.07460744884113041,0.021649480293384402,65
0.025,0.01739,0.02154768473036838,0.01648717587568684,0.00356841310954512,20
-0.07319,-0.05584,-0.07009849897556414,-0.06184397909427183,0.006753158042615406,61
-0.01141,-0.08911,-0.011064708789360504,-0.08821212670616763,0.0009619784155178722,60
0.07219,-0.01231,0.06689225377646886,-0.01570924276188805,0.006294518758665098,49
-0.05827,-0.01976,-0.06191315639275202,-0.029437063313639687,0.01034012296243333,41
-0.06697,-0.06172,-0.06421856653404528,-0.06654638236220872,0.005555569531903553,61
-0.08208,-0.04336,-0.0774547163820405,-0.047851729290169585,0.0064473933153431735,62
0.08048,0.02384,0.06869047637115044,0.019977091613706595,0.012406245547952766,56
-0.01169,0.04628,-0.007143946745006231,0.03953497569474571,0.00813399982024284,32
0.00305,0.02808,0.0034884917910181197,0.023679941008640095,0.004421854156147331,19
-0.00556,0.03129,-0.002351146385653176,0.025021315818257887,0.007042239905650079,21
-0.05266,0.05986,-0.03759975523945225,0.050734497649618175,0.017609252266761077,53
0.01531,0.05888,0.014227628696028402,0.0577741018723106,0.001547429581108007,41
0.04763,-0.02003,0.03727695252616306,-0.022296329539279618,0.010598199921502368,34
-0.06231,-0.05097,-0.057315407758087154,-0.053215953487812405,0.005476336250851719,54
-0.00541,-0.04101,-0.009682595786626863,-0.04284568183441531,0.004650247579764328,28
-0.02937,0.02777,-0.022812191135994843,0.0212018150160554,0.00928148215966286,27
-0.06341,-0.07665,-0.05931599400134,-0.07891510582755693,0.004678844892395597,66
-0.0298,-0.06842,-0.03007185489778904,-0.06853256863246839,0.0002942393285536328,50
0.01493,-0.09058,0.0060906643170927635,-0.08857529428689492,0.00906381268072511,61
0.04689,0.00959,0.03877079119330145,0.009321086811841317,0.008123660871155134,32
