time,actuator_1_input,actuator_2_input,actuator_3_input,cs19_pos_x,cs19_pos_y,cs19_pos_z,tip_pos_x,tip_pos_y,tip_pos_z
1766619978.1785147,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619978.5125422,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619978.8443527,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619979.1772022,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619979.512095,0.0,0.0,0.0,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619979.8987885,0.018800332262832568,0.013579947534025414,0.00042358874465349574,3.306541662430359e-06,0.0,-0.19036912150652113,6.082633688632976e-06,0.0,-0.3907576704717413
1766619979.9499497,0.0736832044190795,0.05322321096037963,0.0016601502370055614,1.716066206648316e-06,-1.647041267533115e-06,-0.19037051298744165,-1.9627869376501516e-06,-8.331479560438542e-06,-0.3907605265276581
1766619979.9981253,0.1619166674796615,0.11695643558412064,0.0036481311583933533,-2.132872314561845e-05,-2.551117687953571e-05,-0.19037632160489942,-0.00010308334687036804,-0.00011304706807974939,-0.39077241671913876
1766619980.0498233,0.28303180140875944,0.20444090880192564,0.006376966309939606,-4.042937784975378e-05,-4.5290953497794984e-05,-0.19038156687319546,-0.0001875490173983922,-0.00020051566393817,-0.3907831118071123
1766619980.0971262,0.43559304097222973,0.3146396861444737,0.009814311089065072,-0.00014009106068328672,-0.0001484958547583403,-0.19039504955137365,-0.0006125680854680204,-0.0006406446060072526,-0.3908098405550776
1766619980.150069,0.6177375141490925,0.44620716882373046,0.013918193279013938,-0.0002471539017751186,-0.00025936497875853,-0.19040583501000877,-0.0010657494450226112,-0.001109936900949985,-0.39082989432781523
1766619980.2001772,0.8281278528637191,0.5981773426200099,0.01865848074933364,-0.00036128073648666436,-0.00037754918598727037,-0.1904146316148816,-0.0015452944932796773,-0.0016065300279656065,-0.3908445473720365
1766619980.2457173,1.0674385236905584,0.7710373915131705,0.02405036985110922,-0.00043619673786021414,-0.0004551286428729396,-0.19042523119145952,-0.0018660178681517553,-0.0019386554160054376,-0.3908633103343428
1766619980.2999,1.3270387827777517,0.9585531145832872,0.02989940200230476,-0.0005303513702481317,-0.0005526307666101168,-0.19044161106297836,-0.0022721488233258466,-0.0023592247789078207,-0.3908923165189224
1766619980.349605,1.6127787233371311,1.1649501796417148,0.0363373851733892,-0.0006572276667083072,-0.0006840179213848969,-0.19046421415821335,-0.002819959647533135,-0.0029265108775631704,-0.39093104455644073
1766619980.4014668,1.921439530502562,1.387903556662774,0.04329179651054505,-0.0008035828502985234,-0.000835576449477522,-0.19048738029682546,-0.0034492548187910147,-0.0035781780572367253,-0.3909677696996877
1766619980.4496574,2.2499413270598376,1.6251885737419756,0.05069324355279798,-0.001553826047815603,-0.0016124918582928127,-0.19054509875986478,-0.0066143071209121855,-0.006855748429381582,-0.39099981590489175
1766619980.503867,2.5984949945826825,1.8769575558843805,0.05854647765559404,-0.002401756939711561,-0.0024905672131382848,-0.19057087428071948,-0.010157144580629898,-0.010524531924850622,-0.39089266751372603
1766619980.5455132,2.9646770492485306,2.141459960455959,0.06679689550364405,-0.0031299112461877976,-0.0032446077854146934,-0.19058896735291994,-0.013201943220049748,-0.013677570224360372,-0.39073837581130894
1766619980.5950928,3.347447971131823,2.417944916362929,0.07542107575874218,-0.003569698769514247,-0.0037000301230050822,-0.19061383143382996,-0.015058554185930351,-0.01560018151354063,-0.3906475704806796
1766619980.6454227,3.744291933163292,2.7045951791477085,0.08436233452747964,-0.00380931699049843,-0.003948167163528358,-0.1906452192803798,-0.01609013844023498,-0.016668437931976417,-0.390624339803335
1766619980.695124,4.155457009512825,3.0015899389525,0.09362626114863698,-0.0040490799019845345,-0.004196454128350692,-0.19067752570084248,-0.01712410390755382,-0.0177391612863209,-0.39059682251623234
1766619980.7452087,4.57849601181747,3.307161530764249,0.10315771822186921,-0.004381331799755183,-0.0045405182553438835,-0.19070489924384412,-0.0185393136572078,-0.019204683198484056,-0.3905157166450269
1766619980.7951038,5.010430777586146,3.6191587537524996,0.11288960501228858,-0.004843530606520591,-0.0050191491413243226,-0.19072312687290258,-0.02048828958350988,-0.021222947545924756,-0.390346940220573
1766619980.8455553,5.45259395354069,3.9385442117856795,0.12285194727391247,-0.005412723515940948,-0.005608577961847213,-0.190731033388699,-0.02287506932541087,-0.023694580109114332,-0.39008302535405937
1766619980.8953097,5.901996807703227,4.263159069430171,0.13297740613161277,-0.006028704724907769,-0.006246458469539799,-0.19073127326514144,-0.025451645744819982,-0.02636275662641606,-0.3897464544871669
1766619980.94555,6.356709651915109,4.591609464940067,0.14322250393971458,-0.006628593438008094,-0.0068676742815966954,-0.1907283824628661,-0.027959788116092506,-0.028960066164653017,-0.3893774506578932
1766619980.9953403,6.816651007978176,4.923836544586578,0.15358540491961606,-0.007173829091604167,-0.007432293907989487,-0.19072659435952619,-0.030241970621348226,-0.03132338371871966,-0.38901306292675913
1766619981.0454533,7.279402756082608,5.258093640295478,0.1640116266121594,-0.007661135114608343,-0.007936924445242993,-0.19072755958829343,-0.03228555841428961,-0.03343962740938906,-0.38866719986632225
